timestamp,pond-temperature,context_pond-temperature,date
1640142820670,18.5,{},2021-12-22 08:43:40.670000+05:30
1640142449917,18.69,{},2021-12-22 08:37:29.917000+05:30
1640142079187,18.56,{},2021-12-22 08:31:19.187000+05:30
1640141708485,18.56,{},2021-12-22 08:25:08.485000+05:30
1640141337774,18.56,{},2021-12-22 08:18:57.774000+05:30
1640140967099,18.5,{},2021-12-22 08:12:47.099000+05:30
1640140596439,18.56,{},2021-12-22 08:06:36.439000+05:30
1640140225977,18.63,{},2021-12-22 08:00:25.977000+05:30
1640139855170,18.69,{},2021-12-22 07:54:15.170000+05:30
1640139484602,18.69,{},2021-12-22 07:48:04.602000+05:30
1640138743394,18.69,{},2021-12-22 07:35:43.394000+05:30
1640138372838,18.69,{},2021-12-22 07:29:32.838000+05:30
1640138002399,18.69,{},2021-12-22 07:23:22.399000+05:30
1640137631712,18.75,{},2021-12-22 07:17:11.712000+05:30
1640137261161,18.75,{},2021-12-22 07:11:01.161000+05:30
1640136890596,18.81,{},2021-12-22 07:04:50.596000+05:30
1640112367115,19.94,{},2021-12-22 00:16:07.115000+05:30
1640111996260,20.13,{},2021-12-22 00:09:56.260000+05:30
1640111625390,20.06,{},2021-12-22 00:03:45.390000+05:30
1640111254525,20.06,{},2021-12-21 23:57:34.525000+05:30
1640110512714,20.13,{},2021-12-21 23:45:12.714000+05:30
1640110141788,20.06,{},2021-12-21 23:39:01.788000+05:30
1640109770867,20.0,{},2021-12-21 23:32:50.867000+05:30
1640109399940,20.13,{},2021-12-21 23:26:39.940000+05:30
1640109029009,20.25,{},2021-12-21 23:20:29.009000+05:30
1640108658079,20.13,{},2021-12-21 23:14:18.079000+05:30
1640108287168,20.19,{},2021-12-21 23:08:07.168000+05:30
1640107916239,20.19,{},2021-12-21 23:01:56.239000+05:30
1640107545350,20.31,{},2021-12-21 22:55:45.350000+05:30
1640107174484,20.31,{},2021-12-21 22:49:34.484000+05:30
1640106803611,20.31,{},2021-12-21 22:43:23.611000+05:30
1640106432733,20.31,{},2021-12-21 22:37:12.733000+05:30
1640105690972,20.13,{},2021-12-21 22:24:50.972000+05:30
1640105320065,20.19,{},2021-12-21 22:18:40.065000+05:30
1640104949153,20.19,{},2021-12-21 22:12:29.153000+05:30
